source_dataset,target_dataset,architecture_count,mean_matched_five_label_gap,mean_binary_gap,mean_absolute_gap_reduction,sd_absolute_gap_reduction,min_absolute_gap_reduction,max_absolute_gap_reduction,architectures_with_reduced_gap,pair_direction
code_ii,cpsc2018,4,0.04025167163628429,0.030677412438290835,0.009574259197993457,0.006208547145426652,0.00041689154273283346,0.01415622163343877,4,reduced
code_ii,georgia,4,0.0307799997744391,0.011446415836260604,0.019333583938178495,0.00735614199203246,0.011454555155162915,0.029187821034979078,4,reduced
code_ii,mimic_iv,4,0.13514077239586475,0.1416679384640663,-0.006527166068201556,0.028176985317724407,-0.0410365662968426,0.026478910124179356,2,increased
code_ii,ptbxl,4,0.004066922715461135,0.004158183905926954,-9.126119046581893e-05,0.002901619513713344,-0.0039377844792432,0.002540448275837548,2,increased
cpsc2018,code_ii,4,0.036723629699800975,0.039275784435902183,-0.0025521547361012087,0.005227070607925339,-0.007698494321043303,0.0022395663811773936,2,increased
cpsc2018,georgia,4,0.04470807120771203,0.05628704172721938,-0.011578970519507348,0.01943554996832885,-0.040373573714640454,0.002076251162157816,1,increased
cpsc2018,mimic_iv,4,0.11159969108630202,0.18107833810036683,-0.06947864701406481,0.019527979601587146,-0.0982093927611255,-0.05590201876819045,0,increased
cpsc2018,ptbxl,4,0.03242103915621797,0.04277657330440407,-0.010355534148186102,0.02003247498434039,-0.037861803265491045,0.009694093098708945,1,increased
georgia,code_ii,4,0.0032793495836749287,0.017131753078153622,-0.013852403494478693,0.014282731135319674,-0.03477542661581701,-0.004121350680494573,0,increased
georgia,cpsc2018,4,0.017836025572740444,0.018932338783894664,-0.0010963132111542206,0.01266742684612973,-0.01993288184356179,0.00747159019289656,3,increased
georgia,mimic_iv,4,0.09904244151073463,0.138980009711202,-0.03993756820046737,0.027534681121609384,-0.0712881051295976,-0.010403832039496574,0,increased
georgia,ptbxl,4,-0.01548452749782045,0.0031064225540440027,-0.018590950051864452,0.015204149721300058,-0.040158000020200535,-0.004693687598775531,0,increased
mimic_iv,code_ii,4,0.04643217712826145,-0.04027665742605427,0.08670883455431572,0.01921213293791298,0.06053573103216425,0.10677686283951104,4,reduced
mimic_iv,cpsc2018,4,0.04449370978860248,-0.03864700236000024,0.08314071214860272,0.014796301927120321,0.06579814851782717,0.09823732001953633,4,reduced
mimic_iv,georgia,4,0.038709010240729536,-0.027504899969391677,0.06621391021012121,0.017367372245142516,0.04481280214754346,0.08675652427165126,4,reduced
mimic_iv,ptbxl,4,0.026813943198871343,-0.039079182728197076,0.06589312592706842,0.03667306468050026,0.0244024672015436,0.11349626269838142,4,reduced
ptbxl,code_ii,4,0.0214995984445496,0.016997696587787436,0.004501901856762164,0.010030544201409195,-0.00353967185415327,0.01869663580725478,2,reduced
ptbxl,cpsc2018,4,0.06833553018269717,0.0384122709804923,0.02992325920220487,0.021650494007638986,0.0020528345844108564,0.05468789756479042,4,reduced
ptbxl,georgia,4,0.04569284250180325,0.02126761242547373,0.024425230076329518,0.00434812294057401,0.01952900329809215,0.028099434944029222,4,reduced
ptbxl,mimic_iv,4,0.14651219086281544,0.14188570569920506,0.004626485163610389,0.010932570351231885,-0.0029808689892122375,0.020657731266616852,2,reduced
