analysis_type,architecture,source_dataset,target_dataset,aggregation,record_count_original,record_count_scored,excluded_all_zero_count,abnormal_prevalence,binary_auroc,five_label_macro_auroc_all_records,five_label_macro_auroc_binary_eligible_records
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9925613636824291,0.9775844244829273,0.9911179160490512
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9924059698265669,0.9775844244829273,0.9911179160490512
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9831397666389661,0.9775844244829273,0.9911179160490512
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9341368919500644,0.9194823104349046,0.9306406097322757
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9357108265174343,0.9194823104349046,0.9306406097322757
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.8733991605682307,0.9194823104349046,0.9306406097322757
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,georgia,max_abnormal,1034,403,631,0.56575682382134,0.9779699248120299,0.9387310506461641,0.9545315378807169
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,georgia,noisy_or,1034,403,631,0.56575682382134,0.9787468671679198,0.9387310506461641,0.9545315378807169
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9300125313283208,0.9387310506461641,0.9545315378807169
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.7576926108254923,0.7363508890122368,0.7355914319254975
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.7585299657257413,0.7363508890122368,0.7355914319254975
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.6385837011349306,0.7363508890122368,0.7355914319254975
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.9855586902821767,0.9243471022520756,0.9654186068415441
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.9857969978372948,0.9243471022520756,0.9654186068415441
posthoc_label_collapse_no_retraining,ecg_fm,ptbxl,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.8854900167071533,0.9243471022520756,0.9654186068415441
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9138374850517867,0.919600495084404,0.9631275088761049
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9200127017586532,0.919600495084404,0.9631275088761049
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9753177128726919,0.919600495084404,0.9631275088761049
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9748304993542833,0.9823272481439524,0.9862587199131102
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9750322858372793,0.9823272481439524,0.9862587199131102
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.9812473095135601,0.9823272481439524,0.9862587199131102
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,georgia,max_abnormal,1034,403,631,0.56575682382134,0.9106766917293234,0.9281313420677177,0.9624784860027908
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,georgia,noisy_or,1034,403,631,0.56575682382134,0.9141604010025062,0.9281313420677177,0.9624784860027908
posthoc_label_collapse_no_retraining,ecg_fm,cpsc2018,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9727318295739348,0.9281313420677177,0.9624784860027908
