mapping_variant,architecture,mean_in_distribution_macro_auroc,mean_cross_dataset_macro_auroc,generalization_gap,model_rank_by_cross_dataset_auroc,baseline_cross_dataset_macro_auroc,baseline_generalization_gap,baseline_model_rank,delta_cross_dataset_macro_auroc_vs_baseline,delta_generalization_gap_vs_baseline,rank_change_vs_baseline
consensus_five_class,ecg_fm,0.972321288728202,0.8875432534291783,0.08477803529902372,3,0.8875432534291783,0.08477803529902372,3,0.0,0.0,0
exclusive_normal_five_class,ecg_fm,0.9637945765739883,0.8888936719936789,0.0749009045803094,3,0.8875432534291783,0.08477803529902372,3,0.0013504185645005773,-0.009877130718714322,0
abnormal_only_four_class,ecg_fm,0.9834790328747541,0.9206257236100891,0.06285330926466504,3,0.8875432534291783,0.08477803529902372,3,0.03308247018091082,-0.021924726034358688,0
merged_bbb_four_class,ecg_fm,0.967640927382155,0.8682868333488601,0.09935409403329487,3,0.8875432534291783,0.08477803529902372,3,-0.019256420080318137,0.014576058734271147,0
consensus_five_class,inception_time,0.9648898690502079,0.9191568084974332,0.04573306055277471,2,0.9191568084974332,0.04573306055277471,2,0.0,0.0,0
exclusive_normal_five_class,inception_time,0.957793422621573,0.9182527477778553,0.039540674843717705,2,0.9191568084974332,0.04573306055277471,2,-0.0009040607195779371,-0.006192385709057002,0
abnormal_only_four_class,inception_time,0.9784458185040925,0.9492877637203355,0.029158054783756993,2,0.9191568084974332,0.04573306055277471,2,0.030130955222902323,-0.016575005769017714,0
merged_bbb_four_class,inception_time,0.95794948167242,0.9067535351550566,0.05119594651736337,2,0.9191568084974332,0.04573306055277471,2,-0.012403273342376564,0.00546288596458866,0
consensus_five_class,resnet1d,0.9658407995749021,0.9238210148793602,0.042019784695541906,1,0.9238210148793602,0.042019784695541906,1,0.0,0.0,0
exclusive_normal_five_class,resnet1d,0.9593169183316324,0.9229476843146729,0.03636923401695946,1,0.9238210148793602,0.042019784695541906,1,-0.0008733305646873024,-0.005650550678582444,0
abnormal_only_four_class,resnet1d,0.9767370338800279,0.9549465963644552,0.021790437515572636,1,0.9238210148793602,0.042019784695541906,1,0.031125581485095033,-0.02022934717996927,0
merged_bbb_four_class,resnet1d,0.9598884667897585,0.9121050893380536,0.04778337745170491,1,0.9238210148793602,0.042019784695541906,1,-0.011715925541306627,0.005763592756163005,0
consensus_five_class,transformer,0.9372303030508803,0.8791859465957576,0.058044356455122736,4,0.8791859465957576,0.058044356455122736,4,0.0,0.0,0
exclusive_normal_five_class,transformer,0.9310310410270131,0.8777254726636332,0.05330556836337985,4,0.8791859465957576,0.058044356455122736,4,-0.0014604739321243398,-0.004738788091742885,0
abnormal_only_four_class,transformer,0.9479486745500404,0.9015975661852188,0.04635110836482159,4,0.8791859465957576,0.058044356455122736,4,0.02241161958946125,-0.011693248090301145,0
merged_bbb_four_class,transformer,0.9252814766534329,0.8591341967547654,0.06614727989866742,4,0.8791859465957576,0.058044356455122736,4,-0.020051749840992117,0.008102923443544685,0
