architecture,target_dataset,mean,std,count,sem
ecg_fm,code_ii,0.01582514617300499,0.0046200317560581745,5,0.0020661410129507608
ecg_fm,cpsc2018,0.02926151477247154,0.004930332329288936,5,0.0022049116479909876
ecg_fm,georgia,0.026684670270952737,0.005123744837759209,5,0.0022914083513186443
ecg_fm,mimic_iv,0.01951243977941335,0.008023763330624017,5,0.0035883360485290845
ecg_fm,ptbxl,0.016571248915723303,0.006666052063949085,5,0.002981149111308586
inception_time,code_ii,0.016179388772559956,0.005590208606116447,5,0.0025000172903361442
inception_time,cpsc2018,0.03625304001659395,0.014548799215306961,5,0.006506420807284393
inception_time,georgia,0.028270824308860944,0.003959228361943867,5,0.0017706207511503254
inception_time,mimic_iv,0.0130461261506988,0.0033401994083922934,5,0.0014937825871139498
inception_time,ptbxl,0.015420925467014079,0.006501326731119728,5,0.002907481702944042
transformer,code_ii,0.024491130428073226,0.00499997995301207,5,0.0022360590122142386
transformer,cpsc2018,0.03889123972962864,0.011453177356177522,5,0.005122016625354851
transformer,georgia,0.035149845667222034,0.002146032698519827,5,0.000959734999165529
transformer,mimic_iv,0.01755801481475692,0.004161692217919301,5,0.0018611653401398851
transformer,ptbxl,0.02343534158637752,0.0058471737518534135,5,0.002614935597079344
