pair,mean_difference,sd,sem,n_architectures
PTB-XL → MIMIC-IV-ECG,-0.07079849019057012,0.08072013155429757,0.046603789681895706,3
CPSC2018 → MIMIC-IV-ECG,-0.06603821850857272,0.07191948845826056,0.04152273602135692,3
Georgia → MIMIC-IV-ECG,-0.05524090446210176,0.0736028513755849,0.042494626054817956,3
CPSC2018 → CODE-15%,-0.05357152877570263,0.034148042424892645,0.01971538148631053,3
PTB-XL → CODE-15%,-0.038562482526059094,0.009239862582649814,0.005334637149368021,3
Georgia → CODE-15%,-0.03413705192350721,0.01655069278620368,0.009555546935389493,3
CPSC2018 → Georgia,-0.031130581692511927,0.02088148348869431,0.012055930113276386,3
PTB-XL → Georgia,-0.013412042308475888,0.011005281263935044,0.006353902100240443,3
PTB-XL → CPSC2018,0.006160415259212922,0.009156528231255996,0.005286524039158058,3
MIMIC-IV-ECG → CODE-15%,0.06572412901422146,0.11523900745604146,0.06653327197589083,3
