architecture,source_dataset,target_dataset,bootstrap_requested_replicates,metric,bootstrap_valid_replicates,ci_95_lower,ci_95_upper
ecg_fm,ptbxl,ptbxl,1000,auroc_af_afl,1000,0.9613021850866146,0.99219655381668
ecg_fm,ptbxl,ptbxl,1000,auroc_av_block_1,1000,0.973876233529027,0.987037339703499
ecg_fm,ptbxl,ptbxl,1000,auroc_lbbb,1000,0.9966130351257341,0.9995956311201811
ecg_fm,ptbxl,ptbxl,1000,auroc_normal,1000,0.9216473249648965,0.9412739661547701
ecg_fm,ptbxl,ptbxl,1000,auroc_rbbb,1000,0.9961608237385841,0.9991579097334363
ecg_fm,ptbxl,ptbxl,1000,macro_auroc,1000,0.9731488099080797,0.9812570926973321
ecg_fm,ptbxl,cpsc2018,1000,auroc_af_afl,1000,0.9668250532895086,0.9953652060072339
ecg_fm,ptbxl,cpsc2018,1000,auroc_av_block_1,1000,0.9277365416599674,0.9834563781044936
ecg_fm,ptbxl,cpsc2018,1000,auroc_lbbb,1000,0.9313916301475378,0.9887828532761003
ecg_fm,ptbxl,cpsc2018,1000,auroc_normal,1000,0.7346970448596748,0.8224605646186978
ecg_fm,ptbxl,cpsc2018,1000,auroc_rbbb,1000,0.878725336809567,0.9349192926638579
ecg_fm,ptbxl,cpsc2018,1000,macro_auroc,1000,0.9038324553687443,0.9319468591399231
ecg_fm,ptbxl,georgia,1000,auroc_af_afl,1000,0.8947337785711388,0.9770244076690063
ecg_fm,ptbxl,georgia,1000,auroc_av_block_1,1000,0.961568139255286,0.9843589254519926
ecg_fm,ptbxl,georgia,1000,auroc_lbbb,1000,0.9770149169012806,0.9956884169812545
ecg_fm,ptbxl,georgia,1000,auroc_normal,1000,0.8111512709492212,0.8712496156240391
ecg_fm,ptbxl,georgia,1000,auroc_rbbb,1000,0.9015751692797094,0.9897844249744443
ecg_fm,ptbxl,georgia,1000,macro_auroc,1000,0.9238044179085432,0.9521427998994848
ecg_fm,ptbxl,mimic_iv,1000,auroc_af_afl,1000,0.8667612215388746,0.8996299378906281
ecg_fm,ptbxl,mimic_iv,1000,auroc_av_block_1,1000,0.5850872792177207,0.6512667090664033
ecg_fm,ptbxl,mimic_iv,1000,auroc_lbbb,1000,0.7643222330324217,0.827409290690088
ecg_fm,ptbxl,mimic_iv,1000,auroc_normal,1000,0.6309855599849308,0.6681013892574198
ecg_fm,ptbxl,mimic_iv,1000,auroc_rbbb,1000,0.7072270009351584,0.7629071534069052
ecg_fm,ptbxl,mimic_iv,1000,macro_auroc,1000,0.7246908472703455,0.748525945341622
ecg_fm,ptbxl,code_ii,1000,auroc_af_afl,1000,0.93498482197373,0.9876559450997825
ecg_fm,ptbxl,code_ii,1000,auroc_av_block_1,1000,0.9772572445766099,0.9878875098167343
ecg_fm,ptbxl,code_ii,1000,auroc_lbbb,1000,0.9867947234501238,0.9955588114775563
