architecture,source_dataset,target_dataset,bootstrap_requested_replicates,metric,bootstrap_valid_replicates,ci_95_lower,ci_95_upper
inception_time,ptbxl,ptbxl,1000,auroc_af_afl,1000,0.9570661607086511,0.986826343401339
inception_time,ptbxl,ptbxl,1000,auroc_av_block_1,1000,0.9578443721497336,0.9773790427599143
inception_time,ptbxl,ptbxl,1000,auroc_lbbb,1000,0.9971147564130638,0.9995657453850403
inception_time,ptbxl,ptbxl,1000,auroc_normal,1000,0.9230709047540793,0.9431853972611813
inception_time,ptbxl,ptbxl,1000,auroc_rbbb,1000,0.9960158675089004,0.999055935073625
inception_time,ptbxl,ptbxl,1000,macro_auroc,1000,0.9696161135715328,0.9786099831516244
inception_time,ptbxl,cpsc2018,1000,auroc_af_afl,1000,0.9394220433637972,0.982009203421305
inception_time,ptbxl,cpsc2018,1000,auroc_av_block_1,1000,0.9211482405001054,0.9700604840180775
inception_time,ptbxl,cpsc2018,1000,auroc_lbbb,1000,0.7917222393448397,0.9657800317039638
inception_time,ptbxl,cpsc2018,1000,auroc_normal,1000,0.8917016323239465,0.9456197500855569
inception_time,ptbxl,cpsc2018,1000,auroc_rbbb,1000,0.9079743922663396,0.9570061731646424
inception_time,ptbxl,cpsc2018,1000,macro_auroc,1000,0.9099106652782631,0.9491387127235288
inception_time,ptbxl,georgia,1000,auroc_af_afl,1000,0.8534142375331212,0.9521194520855447
inception_time,ptbxl,georgia,1000,auroc_av_block_1,1000,0.9252350560263936,0.9609286244333185
inception_time,ptbxl,georgia,1000,auroc_lbbb,1000,0.9902685387928193,0.9990222590223735
inception_time,ptbxl,georgia,1000,auroc_normal,1000,0.8156735918330059,0.872706351827941
inception_time,ptbxl,georgia,1000,auroc_rbbb,1000,0.9118564357187888,0.9886355910364513
inception_time,ptbxl,georgia,1000,macro_auroc,1000,0.9138236280981101,0.9435641945718797
inception_time,ptbxl,mimic_iv,1000,auroc_af_afl,1000,0.9534196244004522,0.9712465544618006
inception_time,ptbxl,mimic_iv,1000,auroc_av_block_1,1000,0.8544310412567726,0.885832747731499
inception_time,ptbxl,mimic_iv,1000,auroc_lbbb,1000,0.8644695974799225,0.918561905313847
inception_time,ptbxl,mimic_iv,1000,auroc_normal,1000,0.7625918019546951,0.7943878687459389
