architecture,task,source_dataset,target_dataset,status,detail,record_count,macro_auroc,auroc_NSR,auroc_AFIB_AFL,auroc_IAVB,auroc_LBBB,auroc_RBBB
inception_time,five_label,ptbxl,ptbxl,COMPLETE,,2198,0.9743695916380845,0.9333114718259824,0.9737343065875664,0.9686501275380672,0.9985359660033168,0.9976160862354893
inception_time,five_label,ptbxl,cpsc2018,COMPLETE,,688,0.9313417562489312,0.9200284505398308,0.9637229913688234,0.9471275252525252,0.8910956325301205,0.9347341815533564
inception_time,five_label,ptbxl,georgia,COMPLETE,,1034,0.9289557432088308,0.8459870281057708,0.9038851351351352,0.9431461954972926,0.9952694276007398,0.9564909297052152
inception_time,five_label,ptbxl,mimic_iv,COMPLETE,,5000,0.8891108241939667,0.7787335378038374,0.9626455803660852,0.8709368194788616,0.8912385282478741,0.9419996550731752
inception_time,five_label,ptbxl,code_ii,COMPLETE,,5000,0.93203712823332,0.7590727078176005,0.9756795819116518,0.9590174454647604,0.976983561935759,0.989432344036828
inception_time,five_label,cpsc2018,ptbxl,COMPLETE,,2198,0.9146747894013044,0.8359781553091933,0.9551113011293952,0.8178834057144222,0.9945627763957988,0.9698383084577116
inception_time,five_label,cpsc2018,cpsc2018,COMPLETE,,688,0.978848994567758,0.943491027137438,0.98333864334125,0.9952200577200576,0.9811433232931728,0.9910519213468704
inception_time,five_label,cpsc2018,georgia,COMPLETE,,1034,0.8990200655101527,0.7802926991518377,0.8811514639639639,0.8975423740314021,0.9937857480755172,0.9423280423280422
inception_time,five_label,cpsc2018,mimic_iv,COMPLETE,,5000,0.9048998878039008,0.8159331164172494,0.9565600587567604,0.9034129308402792,0.9191501782155987,0.9294431547896158
inception_time,five_label,cpsc2018,code_ii,COMPLETE,,5000,0.8862442432147162,0.6900815537426481,0.9216698949822658,0.8727503002828472,0.9925474156302064,0.9541720514356132
inception_time,five_label,georgia,ptbxl,COMPLETE,,2198,0.9550749947912668,0.850282728147952,0.972292525519837,0.9592863841912532,0.9967480306799336,0.9967653054173576
inception_time,five_label,georgia,cpsc2018,COMPLETE,,688,0.9529593047457549,0.9227184855558798,0.9644036378381512,0.9633612914862916,0.9526543674698796,0.9616587413785718
inception_time,five_label,georgia,georgia,COMPLETE,,1034,0.9498037958701112,0.8952403126559121,0.9290259009009008,0.9588676736012158,0.9981507762439256,0.9677343159486016
inception_time,five_label,georgia,mimic_iv,COMPLETE,,5000,0.9151226549162154,0.8333923201957275,0.9589128091645284,0.901356994349328,0.9341062557884988,0.947844895082994
inception_time,five_label,georgia,code_ii,COMPLETE,,5000,0.9223935326264746,0.7370172473440126,0.9638296480309918,0.9675391820682708,0.9629937715525592,0.9805878141365384
inception_time,five_label,mimic_iv,ptbxl,COMPLETE,,2198,0.8995393313215949,0.6576832687998453,0.9692747716399792,0.8808400188768288,0.9952451285240465,0.9946534687672748
inception_time,five_label,mimic_iv,cpsc2018,COMPLETE,,688,0.9043103657366992,0.7126039538955355,0.984779586398656,0.964759199134199,0.8869226907630523,0.9724863984920532
inception_time,five_label,mimic_iv,georgia,COMPLETE,,1034,0.9038795359953996,0.6813138200565441,0.9312922297297298,0.9523877376541952,0.9963445576914808,0.9580593348450492
inception_time,five_label,mimic_iv,mimic_iv,COMPLETE,,5000,0.9720844898377262,0.9773684910590178,0.982135655624338,0.9556575946159044,0.9642496702309786,0.9810110376583914
inception_time,five_label,mimic_iv,code_ii,COMPLETE,,5000,0.8964324468309146,0.6065973846786119,0.9741519971609328,0.927920008524158,0.9843877135882833,0.9891051302025876
inception_time,five_label,code_ii,ptbxl,COMPLETE,,2198,0.9615277262188352,0.8963062460848984,0.9788320325056096,0.9391252143057688,0.9967005251520176,0.9966746130458816
inception_time,five_label,code_ii,cpsc2018,COMPLETE,,688,0.9416020360992654,0.9245787131601984,0.9614421016045878,0.9711061507936508,0.941547439759036,0.9093357751788544
inception_time,five_label,code_ii,georgia,COMPLETE,,1034,0.9464033996832636,0.8911192416431066,0.927730855855856,0.9688895221810582,0.9940222766954802,0.9502551020408164
inception_time,five_label,code_ii,mimic_iv,COMPLETE,,5000,0.8976064031678576,0.8329390936662111,0.9609700588521448,0.8934990284974093,0.9195077320310964,0.8811161027924259
inception_time,five_label,code_ii,code_ii,COMPLETE,,5000,0.9493424733373604,0.8039190534949947,0.9724509358810922,0.9811160835367508,0.9952039501724206,0.9940223436015436

