architecture,source_dataset,target_dataset,bootstrap_requested_replicates,metric,bootstrap_valid_replicates,ci_95_lower,ci_95_upper
transformer,ptbxl,ptbxl,1000,auroc_af_afl,1000,0.9248004478392567,0.9703267810280802
transformer,ptbxl,ptbxl,1000,auroc_av_block_1,1000,0.8442834898284006,0.9126635535802253
transformer,ptbxl,ptbxl,1000,auroc_lbbb,1000,0.9808743347263736,0.9975085808986325
transformer,ptbxl,ptbxl,1000,auroc_normal,1000,0.9081890623947814,0.9305512095199359
transformer,ptbxl,ptbxl,1000,auroc_rbbb,1000,0.990987224771825,0.9974645925871467
transformer,ptbxl,ptbxl,1000,macro_auroc,1000,0.9376659388330985,0.9560379604040625
transformer,ptbxl,cpsc2018,1000,auroc_af_afl,1000,0.929511057472617,0.9774321513283482
transformer,ptbxl,cpsc2018,1000,auroc_av_block_1,1000,0.7107810815143595,0.8233673225838609
transformer,ptbxl,cpsc2018,1000,auroc_lbbb,1000,0.7395098688284596,0.9596968331587472
transformer,ptbxl,cpsc2018,1000,auroc_normal,1000,0.882368445057294,0.9382262909965005
transformer,ptbxl,cpsc2018,1000,auroc_rbbb,1000,0.8719154916245034,0.9304156034234315
transformer,ptbxl,cpsc2018,1000,macro_auroc,1000,0.8535248890020823,0.9050714449173226
transformer,ptbxl,georgia,1000,auroc_af_afl,1000,0.8160044420048671,0.9159844331133625
transformer,ptbxl,georgia,1000,auroc_av_block_1,1000,0.7986916493775934,0.869276444657845
transformer,ptbxl,georgia,1000,auroc_lbbb,1000,0.9710365740060408,0.9970582049788106
transformer,ptbxl,georgia,1000,auroc_normal,1000,0.8166599302239629,0.8733314516797588
transformer,ptbxl,georgia,1000,auroc_rbbb,1000,0.9146116054127706,0.9843961866592734
transformer,ptbxl,georgia,1000,macro_auroc,1000,0.880492121982224,0.9136367142441367
transformer,ptbxl,mimic_iv,1000,auroc_af_afl,1000,0.9298520807233344,0.9509570192874407
transformer,ptbxl,mimic_iv,1000,auroc_av_block_1,1000,0.7007610642563565,0.7426054318758173
transformer,ptbxl,mimic_iv,1000,auroc_lbbb,1000,0.7495020730154882,0.8379042887407055
transformer,ptbxl,mimic_iv,1000,auroc_normal,1000,0.7611718099964254,0.7935196858873337
transformer,ptbxl,mimic_iv,1000,auroc_rbbb,1000,0.8694188277257989,0.907281212885413
transformer,ptbxl,mimic_iv,1000,macro_auroc,1000,0.8131856597237275,0.8361450079247957
transformer,ptbxl,code_ii,1000,auroc_af_afl,1000,0.861964745119789,0.9331758259247463
transformer,ptbxl,code_ii,1000,auroc_av_block_1,1000,0.7776777678263321,0.8456846819286599
transformer,ptbxl,code_ii,1000,auroc_lbbb,1000,0.9437820383913654,0.990035708079772
transformer,ptbxl,code_ii,1000,auroc_normal,1000,0.7471920272168349,0.7734198296730415
transformer,ptbxl,code_ii,1000,auroc_rbbb,1000,0.9778758262625304,0.9915375321786004
transformer,ptbxl,code_ii,1000,macro_auroc,1000,0.8741322483701701,0.8968328050907336
transformer,cpsc2018,ptbxl,1000,auroc_af_afl,1000,0.8956009870344758,0.9445940781881332
transformer,cpsc2018,ptbxl,1000,auroc_av_block_1,1000,0.6225717283250842,0.7444837229448983
transformer,cpsc2018,ptbxl,1000,auroc_lbbb,1000,0.9881640236337741,0.996288862291743
transformer,cpsc2018,ptbxl,1000,auroc_normal,1000,0.8146471232943427,0.8498024839682682
transformer,cpsc2018,ptbxl,1000,auroc_rbbb,1000,0.9550298313567244,0.9800096561027589
transformer,cpsc2018,ptbxl,1000,macro_auroc,1000,0.8660794483213089,0.8934383146752269
transformer,cpsc2018,cpsc2018,1000,auroc_af_afl,1000,0.960547512133749,0.9906690207307985
transformer,cpsc2018,cpsc2018,1000,auroc_av_block_1,1000,0.9270934286853857,0.9813184030561615
transformer,cpsc2018,cpsc2018,1000,auroc_lbbb,1000,0.9129404298824181,0.993517409284625
transformer,cpsc2018,cpsc2018,1000,auroc_normal,1000,0.9055649232527645,0.9542089226055188
transformer,cpsc2018,cpsc2018,1000,auroc_rbbb,1000,0.9755119861758833,0.9914461638975621
transformer,cpsc2018,cpsc2018,1000,macro_auroc,1000,0.9496746075108335,0.9741057747217069
transformer,cpsc2018,georgia,1000,auroc_af_afl,1000,0.764814381909069,0.8834040167241727
transformer,cpsc2018,georgia,1000,auroc_av_block_1,1000,0.7236107064664438,0.8314632010413844
transformer,cpsc2018,georgia,1000,auroc_lbbb,1000,0.9728857283544325,0.9920837571457753
transformer,cpsc2018,georgia,1000,auroc_normal,1000,0.7368001955840274,0.8098484409914628
transformer,cpsc2018,georgia,1000,auroc_rbbb,1000,0.8905087467336885,0.9666410740800075
