architecture,task,source_dataset,target_dataset,status,detail,record_count,macro_auroc,auroc_NSR,auroc_AFIB_AFL,auroc_IAVB,auroc_LBBB,auroc_RBBB
transformer,five_label,ptbxl,ptbxl,COMPLETE,,2198,0.9473473195638702,0.9195778206599652,0.9498544175610184,0.8817330840317561,0.9910084991708126,0.9945627763957988
transformer,five_label,ptbxl,cpsc2018,COMPLETE,,688,0.881442078774913,0.9127152028012838,0.9565617216011122,0.7668087121212122,0.867218875502008,0.9039058818489484
transformer,five_label,ptbxl,georgia,COMPLETE,,1034,0.897754770955563,0.8461965740894728,0.8671030405405405,0.8354774796781066,0.9873134649292564,0.9526832955404384
transformer,five_label,ptbxl,mimic_iv,COMPLETE,,5000,0.8244093790191653,0.7769632837247338,0.9409929510964432,0.7218290648231585,0.7930801829867251,0.8891814124647666
transformer,five_label,ptbxl,code_ii,COMPLETE,,5000,0.8862946772953627,0.7597424303154166,0.9021324726254036,0.8139408733387578,0.9703882366616297,0.9852693735356056
transformer,five_label,cpsc2018,ptbxl,COMPLETE,,2198,0.8795096151954016,0.832868355888523,0.9213854829498468,0.6818298576472065,0.992602093698176,0.968862285793256
transformer,five_label,cpsc2018,cpsc2018,COMPLETE,,688,0.9630679253770144,0.932119929967902,0.9790302960088048,0.9601709054834056,0.9594942269076304,0.9845242685173284
transformer,five_label,cpsc2018,georgia,COMPLETE,,1034,0.8598596570462188,0.7732579411275571,0.829173704954955,0.779967159277504,0.983679525222552,0.933219954648526
transformer,five_label,cpsc2018,mimic_iv,COMPLETE,,5000,0.8644041730474695,0.7803907445334736,0.9196753116683676,0.7991972783847714,0.890170357273161,0.9325871733775742
transformer,five_label,cpsc2018,code_ii,COMPLETE,,5000,0.8365902826229406,0.6864882512385633,0.8290413587871314,0.739137752334457,0.9762546495408578,0.9520294012136932
transformer,five_label,georgia,ptbxl,COMPLETE,,2198,0.9049196982939582,0.849880812743577,0.8902623604639913,0.7963273815568604,0.992351610005528,0.9957763266998342
transformer,five_label,georgia,cpsc2018,COMPLETE,,688,0.8863579265427809,0.8751185439159614,0.9254185251694376,0.8181029040404041,0.8919741465863454,0.9211755130017564
transformer,five_label,georgia,georgia,COMPLETE,,1034,0.9068521403632606,0.877305837352403,0.8753026463963964,0.8457300275482094,0.9962585472842216,0.9396636432350718
transformer,five_label,georgia,mimic_iv,COMPLETE,,5000,0.8388830523715436,0.7896991307021821,0.9069002947376452,0.7549252717391304,0.8808975330470658,0.8619930316316943
transformer,five_label,georgia,code_ii,COMPLETE,,5000,0.8520681433812392,0.7041625750940108,0.8482476887969849,0.787112780425433,0.9563233755666628,0.9644942970231049
transformer,five_label,mimic_iv,ptbxl,COMPLETE,,2198,0.8638921412586005,0.6953094454324165,0.9649072984705264,0.6698376951153218,0.99599657960199,0.9934096876727474
transformer,five_label,mimic_iv,cpsc2018,COMPLETE,,688,0.9208264242082784,0.7356379486431281,0.9880886867867694,0.963395111832612,0.9326681726907632,0.9843422010881204
transformer,five_label,mimic_iv,georgia,COMPLETE,,1034,0.8815152792529547,0.692286712123732,0.9000633445945946,0.8597280462484225,0.9932911882337764,0.962207105064248
transformer,five_label,mimic_iv,mimic_iv,COMPLETE,,5000,0.9485447804962632,0.9603326962752194,0.9676023235627964,0.894154323421191,0.9454491875052624,0.9751853717168468
transformer,five_label,mimic_iv,code_ii,COMPLETE,,5000,0.8708026740572958,0.6177980066145892,0.924716142833635,0.8292201848192492,0.9921284726258282,0.9901505633931776
transformer,five_label,code_ii,ptbxl,COMPLETE,,2198,0.93425630512144,0.9028604941541488,0.9605944382203054,0.8161659727241773,0.996467316196794,0.9951933043117744
transformer,five_label,code_ii,cpsc2018,COMPLETE,,688,0.923381664362426,0.9022924569594396,0.9519347737936628,0.8961151695526696,0.9449673694779116,0.9215985520284452
transformer,five_label,code_ii,georgia,COMPLETE,,1034,0.9053046534652268,0.8463529020455679,0.8922438063063064,0.863744928008251,0.9963660602932956,0.9278155706727136
transformer,five_label,code_ii,mimic_iv,COMPLETE,,5000,0.8712463356423701,0.8107675526104474,0.9466572554106772,0.8032449125178343,0.8928096320619685,0.9027523256109224
transformer,five_label,code_ii,code_ii,COMPLETE,,5000,0.9203393494539934,0.7824478010157091,0.9575567367379672,0.8748982912937349,0.993569345964586,0.9932245722579706

